Date,Open,High,Low,Close,Volume
1994-03-06,53.125,53.875,52.125,8.0537,9055900
1994-03-13,53.0,56.25,51.375,8.5512,14884100
1994-03-20,56.125,58.375,55.875,8.7424,12402200
1994-03-27,56.875,58.875,53.625,8.2642,12237600
1994-04-03,54.375,55.0,52.0,8.3599,14114100
1994-04-10,53.0,54.125,52.25,8.0346,10118100
1994-04-17,52.625,54.5,51.875,8.1114,11953600
1994-04-24,52.875,59.5,51.375,8.9911,21843800
1994-05-01,58.5,59.25,56.75,8.8002,9485600
1994-05-08,57.5,58.625,56.25,8.6847,7505800
1994-05-15,56.5,58.25,56.5,8.8383,7435400
1994-05-22,57.625,62.375,57.375,9.549,19301600
1994-05-29,62.125,64.125,61.375,9.7798,12206900
1994-06-05,63.5,63.75,60.75,9.376,8051500
1994-06-12,61.25,63.5,61.125,9.6264,7807400
1994-06-19,62.375,65.0,62.25,9.5876,11199100
1994-06-26,61.875,62.25,59.5,9.2029,8783100
1994-07-03,59.0,61.875,56.75,8.7614,14435100
1994-07-10,57.0,57.875,56.25,8.7041,8762400
1994-07-17,56.875,58.5,54.875,8.7421,13654800
1994-07-24,57.25,62.625,54.5,9.4338,19184000
1994-07-31,61.375,63.125,61.3281,9.5108,9636100
1994-08-07,61.875,63.5,61.5,9.6261,8855700
1994-08-14,62.75,65.125,62.625,9.838,11845500
1994-08-21,63.75,68.625,63.75,10.5129,14918300
1994-08-28,67.5,70.125,66.625,10.802,18099100
1994-09-04,69.75,70.0,66.75,10.378,10905800
1994-09-11,67.125,68.25,66.625,10.378,6938600
1994-09-18,67.5,71.375,67.5,10.9563,13853300
1994-09-25,70.625,71.375,68.875,10.6674,12112100
1994-10-02,69.0,70.125,67.75,10.7445,8526500
1994-10-09,69.375,71.75,67.375,10.9759,11883300
1994-10-16,71.25,74.125,70.75,11.2848,12222500
1994-10-23,72.875,76.125,72.75,11.5161,16523400
1994-10-30,74.625,76.375,72.625,11.7482,11847500
1994-11-06,75.625,75.625,71.125,11.0138,12000200
1994-11-13,71.375,74.375,70.75,11.2073,11299400
1994-11-20,72.75,73.875,72.25,11.3424,9472100
1994-11-27,73.25,74.125,68.0,10.9555,9845800
1994-12-04,70.875,71.625,68.875,11.0525,8956300
1994-12-11,71.625,72.375,69.5,11.0716,9484900
1994-12-18,71.125,71.375,69.375,10.8591,10448200
1994-12-25,70.5,74.625,70.5,11.3813,10961300
1995-01-01,74.125,74.5,72.5,11.3813,5960400
1995-01-08,73.5,75.75,73.25,11.633,8474000
1995-01-15,75.0,77.25,74.875,11.8267,11890300
1995-01-22,76.375,78.0,75.0,11.672,11202200
1995-01-29,74.5,74.875,70.625,11.2266,16767300
1995-02-05,72.75,75.25,70.25,11.5554,11474300
1995-02-12,74.375,75.75,73.875,11.653,7812200
1995-02-19,75.125,76.25,74.625,11.653,9165300
1995-02-26,75.0,75.75,74.125,11.6332,7043200
1995-03-05,74.625,80.0,73.75,12.4098,13878000
1995-03-12,79.5,81.625,78.5,12.6042,17028700
1995-03-19,81.5,83.625,81.25,12.8375,13342400
1995-03-26,82.75,84.375,81.25,12.9927,11622000
1995-04-02,83.875,85.125,81.375,12.7596,11928000
1995-04-09,82.25,85.125,82.25,13.0511,9502800
1995-04-16,84.0,87.625,84.0,13.4199,7981200
1995-04-23,87.0,92.0,86.0,14.2354,18598900
1995-04-30,91.5,96.875,91.0,14.7015,19840400
1995-05-07,93.875,96.125,91.625,14.5072,16890800
1995-05-14,92.75,95.625,92.625,14.7016,13623400
1995-05-21,94.5,96.125,92.25,14.546,14543200
1995-05-28,93.5,97.875,93.5,14.7989,14029900
1995-06-04,95.625,95.75,91.5,14.6238,10414300
1995-06-11,90.25,93.5,88.375,13.8841,19502400
1995-06-18,90.5,94.0,89.75,14.429,13353100
1995-06-25,93.375,99.375,93.25,15.3637,16331900
1995-07-02,98.5,99.25,94.375,14.9551,13226900
1995-07-09,96.25,100.625,95.75,15.5005,9357900
1995-07-16,100.0,104.25,99.5,16.1822,13380700
1995-07-23,104.125,108.625,98.5,16.1428,30692500
1995-07-30,104.125,111.25,103.5,17.2335,19601700
1995-08-06,110.625,111.75,105.625,16.9214,13266500
1995-08-13,109.125,110.375,108.375,17.0582,9492000
1995-08-20,109.25,114.625,109.25,17.3903,14123900
1995-08-27,111.375,111.375,103.75,16.2186,20033300
1995-09-03,103.75,104.5,98.625,16.0434,17644700
1995-09-10,103.0,103.0,98.125,15.438,20266600
1995-09-17,96.5,98.75,91.625,14.4039,42475700
1995-09-24,92.5,98.125,92.375,14.6576,16841400
1995-10-01,94.0,95.375,91.875,14.7551,15889400
1995-10-08,95.0,95.625,93.375,14.6967,12736800
1995-10-15,93.875,94.25,89.125,14.4431,17548400
1995-10-22,92.5,98.5,91.25,14.8917,30536700
1995-10-29,95.625,99.25,94.625,15.0677,15824300
1995-11-05,97.5,101.5,96.375,15.8482,14730300
1995-11-12,101.25,102.375,96.625,15.243,15215200
1995-11-19,97.5,98.0,94.75,14.8904,12662900
1995-11-26,95.0,96.625,93.0,15.0078,8698000
1995-12-03,96.5,98.125,94.75,14.831900000000001,12995800
1995-12-10,95.0,97.25,94.0,15.1643,13780000
1995-12-17,97.125,97.25,89.875,14.1276,17270800
1995-12-24,90.0,92.0,87.75,14.2842,18256800
1995-12-31,92.0,92.125,89.5,14.3032,7758300
1996-01-07,91.375,92.125,85.625,13.8731,17600000
1996-01-14,88.625,89.25,86.0,13.5209,17583300
1996-01-21,86.5,104.125,83.125,15.9669,36179700
1996-01-28,101.5,109.0,100.75,16.3969,25610000
1996-02-04,104.75,110.375,104.25,17.1602,19165700
1996-02-11,109.375,115.125,109.25,17.8055,18914100
1996-02-18,114.125,118.875,113.5,18.5113,21193100
1996-02-25,116.75,126.125,116.75,19.7078,18901500
1996-03-03,123.875,128.875,117.0,18.531,27221700
1996-03-10,118.75,121.25,112.25,17.9235,18451000
1996-03-17,113.875,120.0,113.625,18.8058,17342200
1996-03-24,120.625,125.5,114.125,17.9235,20137500
1996-03-31,114.875,115.125,107.625,17.4528,18879800
1996-04-07,112.125,120.5,110.0,18.4725,14439600
1996-04-14,115.625,120.875,110.125,17.4918,20681200
1996-04-21,112.625,120.125,103.375,16.531,36304700
1996-04-28,106.875,108.875,105.625,16.9036,15577900
1996-05-05,107.75,110.25,107.375,16.962,12968100
1996-05-12,108.5,108.5,103.625,16.7434,13367800
1996-05-19,106.375,111.625,105.875,17.4519,14723700
1996-05-26,112.0,112.5,108.0,17.1172,10808600
1996-06-02,109.25,109.375,105.625,16.8021,9853500
1996-06-09,106.375,106.625,96.125,16.0152,18870900
1996-06-16,102.0,104.375,101.375,15.9953,12695600
1996-06-23,101.875,102.75,98.25,15.5236,13616000
